Calibration,Bin,N,Mean_Predicted_Prob,Observed_Positive_Rate
Raw,"(0.11699999999999999, 0.325]",1196,0.18560465103125062,0.02508361204013378
Raw,"(0.325, 0.326]",155,0.3257297437417983,0.05161290322580645
Raw,"(0.326, 0.505]",184,0.5040352736263438,0.05434782608695652
Raw,"(0.505, 0.537]",163,0.5370950682187366,0.13496932515337423
Raw,"(0.537, 0.689]",183,0.6139840253540524,0.2896174863387978
Raw,"(0.689, 0.791]",160,0.7912714348017564,0.325
Platt,"(0.013000000000000001, 0.0427]",1196,0.023374588655822735,0.02508361204013378
Platt,"(0.0427, 0.043]",155,0.04297863847073429,0.05161290322580645
Platt,"(0.043, 0.108]",184,0.10742291362255763,0.05434782608695652
Platt,"(0.108, 0.126]",163,0.1261439433896487,0.13496932515337423
Platt,"(0.126, 0.251]",183,0.18866191059051432,0.2896174863387978
Platt,"(0.251, 0.37]",160,0.37019491548294153,0.325
Isotonic,"(0.0114, 0.049]",1196,0.024076520140991518,0.02508361204013378
Isotonic,"(0.049, 0.0563]",156,0.05633802816901408,0.05128205128205128
Isotonic,"(0.0563, 0.0775]",183,0.07751937984496127,0.0546448087431694
Isotonic,"(0.0775, 0.0833]",163,0.08332094624281496,0.13496932515337423
Isotonic,"(0.0833, 0.292]",183,0.24140825597471852,0.2896174863387978
Isotonic,"(0.292, 0.364]",160,0.3636363636363637,0.325
