Calibration,Bin,N,Mean_Predicted_Prob,Observed_Positive_Rate
Raw,"(0.214, 0.482]",242,0.33365465937715844,0.045454545454545456
Raw,"(0.482, 0.52]",169,0.519687377909747,0.08875739644970414
Raw,"(0.52, 0.532]",131,0.5318513023109998,0.07633587786259542
Raw,"(0.532, 0.583]",122,0.5832797879177815,0.09016393442622951
Raw,"(0.583, 0.587]",120,0.5874601362608118,0.10833333333333334
Raw,"(0.587, 0.618]",203,0.6177143804637657,0.2019704433497537
Raw,"(0.618, 0.672]",6,0.6367555720356836,0.5
Platt,"(0.00229, 0.0556]",242,0.022494341603811852,0.045454545454545456
Platt,"(0.0556, 0.0811]",169,0.08109327752945206,0.08875739644970414
Platt,"(0.0811, 0.0914]",131,0.09140723808601693,0.07633587786259542
Platt,"(0.0914, 0.149]",122,0.14897551628047137,0.09016393442622951
Platt,"(0.149, 0.155]",120,0.1547744982948466,0.10833333333333334
Platt,"(0.155, 0.202]",203,0.2023325399520505,0.2019704433497537
Platt,"(0.202, 0.313]",6,0.23932957618692427,0.5
Isotonic,"(0.0104, 0.042]",242,0.027292954978905392,0.045454545454545456
Isotonic,"(0.042, 0.0504]",169,0.05035971223021583,0.08875739644970414
Isotonic,"(0.0504, 0.0602]",131,0.06024096385542167,0.07633587786259542
Isotonic,"(0.0602, 0.143]",122,0.14285714285714282,0.09016393442622951
Isotonic,"(0.143, 0.184]",120,0.18400000000000002,0.10833333333333334
Isotonic,"(0.184, 0.21]",205,0.20979020979020982,0.2
Isotonic,"(0.21, 0.648]",4,0.39967607988116205,0.75
